merk,model,bouwjaar,type_auto,brandstof,vermogen,prijs,CO2_wltp,Electric_range_km,Engine_cm3,Transmission,Mileage,Condition,Torque_Nm,Performance_0_100_sec,Seats,Engine_Size_L,Acceleration_0_60_sec,Number_of_Cylinders,Number_of_Doors,Tax,MPG,Top_Speed_mph,Mileage_MPG,Image_ID,Image_name,Genmodel_ID,Predicted_viewpoint,Image_Path
chevrolet,malibu,2012,sedan,petrol,119.312,21699.0,,,,,,,250.0,8.0,5.0,,,,,,,,,,,,,
hyundai,elantra limited,2016,sedan,petrol,0.0,20228.0,,,,,,,,,,,,,,,,,,26_5$$3$$0,Dodge$$Journey$$2009$$Red$$26_5$$3$$image_0.jpg,,0.0,
lexus,gx 460,2012,jeep,petrol,,627.0,,,,,,,,,,,,,,,,,,,,,,
toyota,camry,2016,sedan,petrol,224.4557,2195.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
hyundai,sonata,2018,sedan,petrol,142.4287,69502.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
ford,fiesta,2011,sedan,petrol,92.0,9722.0,120.0,0.0,999.0,Manual,66000.0,,210.0,7.0,5.0,3.5,,,,125.0,50.4,,,29_13$$1633$$6,Ford$$Fiesta$$2011$$Black$$29_13$$1633$$image_6.jpg,29_13,180.0,Ford$$Fiesta$$2011$$Black$$29_13$$1633$$image_6.jpg
hyundai,elantra,2013,sedan,petrol,90.0,15994.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
toyota,camry,2017,sedan,petrol,224.4557,470.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
mercedes-benz,ml 350,2013,jeep,diesel,0.0,40769.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,genesis,2010,coupe,petrol,216.9987,13796.0,,,,,,,400.0,6.3,5.0,,,,,,,,,,,,,
mercedes-benz,e 270,2002,sedan,diesel,0.75,14426.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,santa fe,2016,jeep,diesel,188.6621,53154.0,,,,Manual,26317.0,,420.0,9.3,7.0,2.2,8.6,,4.0,235.0,42.8,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
bmw,328,2014,sedan,petrol,0.0,33086.0,,,,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,prius,2010,sedan,petrol,0.358426005132592,14426.0,,,,Automatic,67662.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,70.6,,,92_11$$77$$1,Toyota$$Corolla$$2000$$Blue$$92_11$$77$$image_1.jpg,,0.0,
hyundai,santa fe,2010,jeep,diesel,3.0,14583.0,,,,Manual,72285.0,,420.0,9.3,7.0,2.2,8.6,,4.0,260.0,41.5,,,36_20$$365$$13,Hyundai$$Santa Fe$$2010$$Black$$36_20$$365$$image_13.jpg,36_20,0.0,Hyundai$$Santa Fe$$2010$$Black$$36_20$$365$$image_13.jpg
ford,transit,2000,microbus,diesel,126.769,8467.0,222.0,0.0,1995.0,,,,405.0,12.0,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
hyundai,elantra,2016,sedan,petrol,90.0,21953.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
ford,fiesta,2015,sedan,petrol,92.0,6272.0,120.0,0.0,999.0,Manual,29693.5,,210.0,7.0,5.0,3.5,,,,0.0,65.7,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
lincoln,mkz,2015,sedan,hybrid,0.0,470.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
hyundai,h1,2016,universal,diesel,0.0,40183.0,,,,,,,,,,,,,,,,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
chevrolet,malibu,2013,sedan,petrol,119.312,22567.0,,,,,,,250.0,8.0,5.0,,,,,,,,,95_5$$4$$0,Volkswagen$$Caddy$$2017$$Grey$$95_5$$4$$image_0.jpg,,0.0,
honda,fit,2015,hatchback,petrol,95.4496,13310.0,,,,,,,139.0,,,3.3,8.8,,,,,,,,,,,
mitsubishi,grandis,2004,minivan,cng,123.0405,7213.0,,,,,,,217.0,11.0,7.0,,,,,,,,,62_10$$5$$2,Mitsubishi$$Grandis$$2004$$Purple$$62_10$$5$$image_2.jpg,62_10,180.0,Mitsubishi$$Grandis$$2004$$Purple$$62_10$$5$$image_2.jpg
toyota,aqua,2013,hatchback,hybrid,0.0,14113.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
toyota,prius,2014,hatchback,hybrid,90.2297,4391.0,,,,Automatic,48832.5,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,70.6,,,92_30$$125$$2,Toyota$$Prius$$2014$$Black$$92_30$$125$$image_2.jpg,92_30,0.0,Toyota$$Prius$$2014$$Black$$92_30$$125$$image_2.jpg
audi,q7,2010,jeep,diesel,3.144,49550.0,215.0,0.0,2967.0,,13213.0,,600.0,6.3,7.0,3.3,5.7,4.0,,145.0,33.6,,,66_1$$1$$5,Opel$$Astra$$2003$$Blue$$66_1$$1$$image_5.jpg,,0.0,
toyota,rav 4,2016,jeep,petrol,0.0,40000.0,,,,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,prius,2015,hatchback,hybrid,90.2297,25086.0,,,,Automatic,30862.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,10.0,64.2,,,92_30$$527$$5,Toyota$$Prius$$2015$$Black$$92_30$$527$$image_5.jpg,92_30,0.0,Toyota$$Prius$$2015$$Black$$92_30$$527$$image_5.jpg
chevrolet,cruze,2012,sedan,petrol,114.0921,12544.0,,,,,,,,,,,,4.0,4.0,,,,,16_7$$14$$4,Chevrolet$$Cruze$$2012$$Black$$16_7$$14$$image_4.jpg,16_7,0.0,Chevrolet$$Cruze$$2012$$Black$$16_7$$14$$image_4.jpg
hyundai,tucson,2014,jeep,diesel,139.4459,25597.0,,,,,17952.0,,400.0,6.1,5.0,,7.8,4.0,4.0,145.0,51.4,,,36_5$$1$$4,Hyundai$$Genesis$$2015$$Black$$36_5$$1$$image_4.jpg,,0.0,
porsche,cayenne,2008,jeep,petrol,250.0,23521.0,272.0,0.0,2995.0,,,,450.0,5.9,5.0,,,6.0,4.0,,,,,71_8$$181$$0,Porsche$$Cayenne$$2008$$Black$$71_8$$181$$image_0.jpg,71_8,0.0,Porsche$$Cayenne$$2008$$Black$$71_8$$181$$image_0.jpg
ssangyong,actyon,2016,jeep,diesel,0.0,33230.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,elantra,2016,sedan,lpg,90.0,18503.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
hyundai,genesis,2010,coupe,petrol,216.9987,10349.0,,,,,,,400.0,6.3,5.0,,,,,,,,,16_7$$15$$1,Chevrolet$$Cruze$$2011$$Black$$16_7$$15$$image_1.jpg,,0.0,
ssangyong,rexton,2007,jeep,diesel,0.0,6272.0,,,,,,,,,,,,,,,,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
toyota,prius,2008,sedan,petrol,90.2297,12544.0,,,,Automatic,126553.5,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,10.0,65.7,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
mercedes-benz,g 550,2016,jeep,petrol,0.0,1882.0,,,,,,,,,,,,,,,,,,,,,,
ford,mustang,2011,coupe,petrol,330.0,29075.0,268.0,0.0,5038.0,,5064.0,,530.0,4.3,4.0,3.1,4.75,,2.0,145.0,22.8,,,,,,,
lexus,gx 460,2012,jeep,petrol,,52059.0,,,,,,,,,,,,,,,,,,16_13$$20$$0,Chevrolet$$Orlando$$2011$$Grey$$16_13$$20$$image_0.jpg,,0.0,
toyota,aqua,2014,hatchback,hybrid,0.0,10100.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,elantra,2011,sedan,petrol,90.0,12544.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
lexus,rx 450,2010,jeep,hybrid,0.0,314.0,,,,,,,,,,,,,,,,,,,,,,
audi,a5,2013,coupe,petrol,194.6277,9095.0,,,,Manual,59773.0,,273.0,,,2.0,5.2,4.0,,125.0,58.9,,,,,,,
mercedes-benz,ml 350,2011,jeep,diesel,0.0,470.0,,,,,,,,,,,,,,,,,,26_2$$17$$0,Dodge$$Caliber$$2006$$Black$$26_2$$17$$image_0.jpg,,0.0,
mercedes-benz,s 550,2007,sedan,petrol,0.0,35124.0,,,,,,,,,,,,,,,,,,,,,,
porsche,cayenne,2016,jeep,hybrid,250.0,29166.0,272.0,0.0,2995.0,,,,450.0,5.9,5.0,,,6.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
chrysler,300,2004,limousine,petrol,270.6891,29793.0,,,,,,,,,,,,6.0,4.0,,,,,,,,,
bmw,x5,2001,jeep,lpg,269.9434,11447.0,,,,,11442.5,,390.0,,,3.7,4.949999999999999,,,145.0,37.7,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
honda,civic,2019,sedan,petrol,117.8206,59827.0,,,,,,,400.0,8.5,5.0,3.25,8.2,4.0,4.0,,,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
toyota,prius,2010,hatchback,hybrid,90.2297,13799.0,,,,Automatic,67662.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,70.6,,,16_7$$15$$1,Chevrolet$$Cruze$$2011$$Black$$16_7$$15$$image_1.jpg,,0.0,
nissan,juke,2015,jeep,petrol,87.2469,26343.0,,,,,,,180.0,10.4,5.0,,,,,,,,,64_14$$1010$$0,Nissan$$Juke$$2015$$Black$$64_14$$1010$$image_0.jpg,64_14,0.0,Nissan$$Juke$$2015$$Black$$64_14$$1010$$image_0.jpg
hyundai,sonata,2016,sedan,lpg,142.4287,15681.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,,,,,
lexus,ct 200h,2011,hatchback,hybrid,0.0,251.0,,,,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
hyundai,sonata,2013,sedan,petrol,142.4287,549.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,,,,,
honda,fit,2007,hatchback,petrol,95.4496,8154.0,,,,,,,139.0,,,3.3,8.8,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
lexus,rx 450,2010,jeep,hybrid,0.0,220.0,,,,,,,,,,,,,,,,,,,,,,
ford,fusion,2017,sedan,hybrid,0.0,3293.0,,,,,65000.0,,,,,,,,,200.0,42.8,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
audi,a4,2013,sedan,petrol,184.9336,21012.0,,,,Manual,59438.0,,400.0,6.5,5.0,3.35,6.6,4.0,,125.0,58.9,,,,,,,
mercedes-benz,e 350,2012,sedan,diesel,220.0,4861.0,196.0,0.0,1991.0,,,,,,,,,,,,,,,,,,,
hyundai,elantra,2016,sedan,lpg,90.0,18503.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
mercedes-benz,e 300,2017,sedan,petrol,190.0,22580.0,181.0,0.0,1991.0,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
toyota,aqua,2015,universal,hybrid,0.0,12231.0,,,,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,corolla,2010,sedan,petrol,103.6523,549.0,,,,,6329.0,,200.0,9.4,5.0,3.3,,4.0,4.0,135.0,72.4,,,85_5$$58$$3,Ssangyong$$Rexton$$2008$$Black$$85_5$$58$$image_3.jpg,,0.0,
volkswagen,caddy,2005,goods wagon,diesel,93.9582,7840.0,,,,,,,250.0,10.5,7.0,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
lexus,ct 200h,2012,hatchback,hybrid,0.0,627.0,,,,,,,,,,,,,,,,,,,,,,
honda,fit,2005,hatchback,petrol,95.4496,8467.0,,,,,,,139.0,,,3.3,8.8,,,,,,,16_5$$69$$8,Chevrolet$$Captiva$$2008$$Bronze$$16_5$$69$$image_8.jpg,,0.0,
hyundai,tucson,2010,jeep,diesel,139.4459,23414.0,,,,,17952.0,,400.0,6.1,5.0,,7.8,4.0,4.0,145.0,51.4,,,16_14$$118$$0,Chevrolet$$Spark$$2010$$Blue$$16_14$$118$$image_0.jpg,,0.0,
opel,astra,2000,sedan,diesel,0.0080645161290322,7840.0,120.0,0.0,1199.0,,,,,,,,,,,,,,,,,,,
lexus,gx 470,2008,jeep,petrol,0.0,862.0,,,,,,,,,,,,,,,,,,7_31$$3$$0,Audi$$RS6$$2003$$Black$$7_31$$3$$image_0.jpg,,0.0,
bmw,x5,2004,jeep,petrol,6.0,17500.0,,,,,11442.5,,390.0,,,3.7,4.949999999999999,,,145.0,37.7,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
mercedes-benz,glk 350,2011,jeep,petrol,0.0,31361.0,,,,,,,,,,,,,,,,,,,,,,
fiat,500,2016,coupe,petrol,43.0,17249.0,0.0,311.0,0.0,,,,,,,,,4.0,3.0,,,,,28_2$$103$$4,Fiat$$500$$2016$$Black$$28_2$$103$$image_4.jpg,28_2,180.0,Fiat$$500$$2016$$Black$$28_2$$103$$image_4.jpg
toyota,camry xle,2012,sedan,hybrid,0.0,31988.0,,,,,,,,,,,,,,,,,,36_1$$2$$10,Hyundai$$Accent$$2000$$Blue$$36_1$$2$$image_10.jpg,,0.0,
hyundai,elantra,2012,sedan,petrol,90.0,20266.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
toyota,camry,2012,sedan,hybrid,224.4557,9252.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,7_5$$252$$1,Audi$$A4$$2003$$Black$$7_5$$252$$image_1.jpg,,0.0,
hyundai,h1,2012,minivan,diesel,0.0,23772.0,,,,,,,,,,,,,,,,,,,,,,
toyota,camry,2012,sedan,hybrid,224.4557,15053.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
hyundai,elantra,2012,sedan,petrol,90.0,11917.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,48_1$$32$$19,Lexus$$CT 200h$$2011$$Black$$48_1$$32$$image_19.jpg,,0.0,
ssangyong,actyon,2017,jeep,diesel,0.0,40901.0,,,,,,,,,,,,,,,,,,,,,,
toyota,camry,2010,sedan,hybrid,224.4557,941.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,64_40$$1$$3,Nissan$$Tiida$$2009$$Gold$$64_40$$1$$image_3.jpg,,0.0,
toyota,camry,2014,sedan,hybrid,224.4557,706.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
chevrolet,volt,2011,sedan,hybrid,0.0,21012.0,,,,,,,,,,,,,,,,,,,,,,
kia,optima,2013,sedan,petrol,,12701.0,,,,,,,,,,,,4.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
toyota,camry,2014,sedan,hybrid,224.4557,80.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
honda,fit,2013,hatchback,hybrid,95.4496,11917.0,,,,,,,139.0,,,3.3,8.8,,,,,,,54_4$$82$$0,MINI$$Countryman$$2010$$Black$$54_4$$82$$image_0.jpg,,0.0,
hyundai,tucson,2010,jeep,diesel,139.4459,24123.0,,,,,17952.0,,400.0,6.1,5.0,,7.8,4.0,4.0,145.0,51.4,,,,,,,
bmw,m6,2014,sedan,petrol,6.0,32302.0,,,,Automatic,43624.5,,,,,4.4,,,,565.0,28.5,,,29_9$$2$$3,Ford$$Explorer$$2003$$Red$$29_9$$2$$image_3.jpg,,0.0,
ford,taurus,2014,sedan,lpg,210.66025,13485.0,,,,,,,400.0,6.5,5.0,,,,,,,,,59_39$$4$$0,Mercedes-Benz$$Vito$$2006$$Silver$$59_39$$4$$image_0.jpg,,0.0,
honda,civic,2001,hatchback,petrol,117.8206,7213.0,,,,,,,400.0,8.5,5.0,3.25,8.2,4.0,4.0,,,,,34_2$$622$$3,Honda$$Civic$$2001$$Black$$34_2$$622$$image_3.jpg,34_2,45.0,Honda$$Civic$$2001$$Black$$34_2$$622$$image_3.jpg
toyota,prius,2011,hatchback,petrol,90.2297,14113.0,,,,Manual,112000.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,70.6,,,16_5$$69$$8,Chevrolet$$Captiva$$2008$$Bronze$$16_5$$69$$image_8.jpg,,0.0,
chevrolet,lacetti,2010,sedan,petrol,0.0,12570.0,,,,,,,,,,,,,,,,,,,,,,
chevrolet,cruze,2016,sedan,petrol,114.0921,18817.0,,,,,,,187.10316,,,,,4.0,4.0,,,,,,,,,
mercedes-benz,e 350,2010,sedan,petrol,220.0,30734.0,196.0,0.0,1991.0,,,,,,,,,,,,,,,16_19$$1$$0,Chevrolet$$Volt$$2013$$Silver$$16_19$$1$$image_0.jpg,,0.0,
jeep,compass,2012,jeep,petrol,132.0,26262.0,47.0,46.0,1332.0,,,,320.0,7.8,5.0,,9.1,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
ferrari,456,2011,coupe,petrol,0.0,101923.0,,,,,,,,,,,,,,,,,,,,,,
ford,transit,2011,microbus,diesel,126.769,20385.0,222.0,0.0,1995.0,,,,405.0,12.0,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,elantra,2014,sedan,petrol,90.0,28241.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
land rover,land rover sport,2016,jeep,petrol,0.0,114468.0,,,,,,,,,,,,,,,,,,34_2$$683$$0,Honda$$Civic$$2000$$Black$$34_2$$683$$image_0.jpg,,0.0,
toyota,aqua,2015,universal,hybrid,0.0,31819.0,,,,,,,,,,,,,,,,,,,,,,
bmw,325 i,2000,coupe,petrol,0.0,7840.0,,,,,,,,,,,,,,,,,,16_5$$69$$8,Chevrolet$$Captiva$$2008$$Bronze$$16_5$$69$$image_8.jpg,,0.0,
toyota,tacoma,2013,jeep,petrol,118.5663,14583.0,,,,,,,400.0,9.5,5.0,,7.2,4.0,4.0,,,,,,,,,
renault,megane,2006,universal,diesel,85.0,12074.0,123.0,0.0,1461.0,,,,,,,,,4.0,5.0,,,,,75_12$$71$$6,Renault$$Megane$$2006$$Red$$75_12$$71$$image_6.jpg,75_12,0.0,Renault$$Megane$$2006$$Red$$75_12$$71$$image_6.jpg
hyundai,elantra,2012,sedan,petrol,90.0,13589.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
toyota,prius,2012,sedan,hybrid,90.2297,21169.0,,,,Automatic,37870.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,134.5,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
kia,optima,2012,sedan,petrol,,16621.0,,,,,,,,,,,,4.0,4.0,,,,,43_6$$136$$17,Kia$$Optima$$2012$$Black$$43_6$$136$$image_17.jpg,43_6,0.0,Kia$$Optima$$2012$$Black$$43_6$$136$$image_17.jpg
mercedes-benz,c 300 4matic,2012,sedan,petrol,190.0,26030.0,171.5,0.0,1991.0,,,,,,,,,,,,,,,,,,,
hyundai,tucson,2011,jeep,diesel,139.4459,22947.0,,,,,17952.0,,400.0,6.1,5.0,,7.8,4.0,4.0,145.0,51.4,,,,,,,
ford,fusion,2015,sedan,petrol,0.0,16935.0,,,,,65000.0,,,,,,,,,200.0,42.8,,,,,,,
hyundai,santa fe,2015,jeep,petrol,188.6621,1960.0,,,,Semi-Auto,42675.0,,420.0,9.3,7.0,2.2,8.6,,4.0,260.0,42.2,,,36_20$$228$$0,Hyundai$$Santa Fe$$2015$$Black$$36_20$$228$$image_0.jpg,36_20,0.0,Hyundai$$Santa Fe$$2015$$Black$$36_20$$228$$image_0.jpg
chevrolet,aveo,2012,hatchback,petrol,0.0,7514.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,santa fe,2016,jeep,diesel,188.6621,43216.0,,,,Manual,26317.0,,420.0,9.3,7.0,2.2,8.6,,4.0,235.0,42.8,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
honda,fit,2008,sedan,petrol,95.4496,9095.0,,,,,,,139.0,,,3.3,8.8,,,,,,,36_7$$1$$5,Hyundai$$Grandeur$$2008$$Silver$$36_7$$1$$image_5.jpg,,0.0,
kia,optima,2011,sedan,petrol,,7370.0,,,,,,,,,,,,4.0,4.0,,,,,,,,,
toyota,prius,2012,hatchback,hybrid,90.2297,19800.0,,,,Automatic,37870.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,134.5,,,92_30$$203$$0,Toyota$$Prius$$2012$$Black$$92_30$$203$$image_0.jpg,92_30,0.0,Toyota$$Prius$$2012$$Black$$92_30$$203$$image_0.jpg
toyota,rav 4,2006,jeep,petrol,0.0,18189.0,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,e 300,2017,sedan,petrol,190.0,22580.0,181.0,0.0,1991.0,,,,,,,,,,,,,,,,,,,
mercedes-benz,ml 320,2007,jeep,diesel,0.0,23207.0,,,,,,,,,,,,,,,,,,,,,,
daewoo,lacetti,2009,sedan,diesel,0.0,5959.0,,,,,,,,,,,,,,,,,,48_1$$32$$19,Lexus$$CT 200h$$2011$$Black$$48_1$$32$$image_19.jpg,,0.0,
toyota,camry le,2016,sedan,petrol,0.0,37633.0,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,e 350,2014,sedan,diesel,220.0,30734.0,196.0,0.0,1991.0,,,,,,,,,,,,,,,,,,,
hyundai,tucson,2013,jeep,petrol,139.4459,3763.0,,,,,17952.0,,400.0,6.1,5.0,,7.8,4.0,4.0,145.0,51.4,,,,,,,
ssangyong,rexton,2013,jeep,diesel,0.0,39750.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
ssangyong,actyon,2017,jeep,petrol,0.0,41547.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,santa fe,2015,jeep,diesel,188.6621,41547.0,,,,Semi-Auto,42675.0,,420.0,9.3,7.0,2.2,8.6,,4.0,260.0,42.2,,,64_40$$1$$3,Nissan$$Tiida$$2009$$Gold$$64_40$$1$$image_3.jpg,,0.0,
kia,optima,2016,sedan,petrol,,20228.0,,,,,,,,,,,,4.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
peugeot,207,2008,hatchback,petrol,0.0,6899.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
hyundai,sonata,2014,sedan,lpg,142.4287,11604.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,16_7$$15$$1,Chevrolet$$Cruze$$2011$$Black$$16_7$$15$$image_1.jpg,,0.0,
toyota,chr,2019,jeep,petrol,0.0,5488.0,,,,,,,,,,,,,,,,,,,,,,
opel,corsa,2008,hatchback,diesel,57.0,9722.0,0.0,336.0,0.0,,,,,,,,,,,,,,,16_2$$28$$0,Chevrolet$$Aveo$$2009$$Black$$16_2$$28$$image_0.jpg,,0.0,
chevrolet,cruze,2014,sedan,petrol,114.0921,13485.0,,,,,,,,,,,,4.0,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
ford,focus se,2015,sedan,petrol,0.0,18189.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,h1,2008,minivan,diesel,0.0,19914.0,,,,,,,,,,,,,,,,,,,,,,
bmw,530,2007,sedan,petrol,0.0,80.0,,,,,,,,,,,,,,,,,,26_7$$2$$1,Dodge$$RAM$$2013$$Red$$26_7$$2$$image_1.jpg,,45.0,
hyundai,elantra,2010,sedan,petrol,90.0,14069.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
mercedes-benz,e 320,2003,sedan,lpg,0.0,13172.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,elantra,2010,sedan,petrol,90.0,16543.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,29_9$$2$$3,Ford$$Explorer$$2003$$Red$$29_9$$2$$image_3.jpg,,0.0,
hyundai,h1,2014,minivan,diesel,0.0,30085.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
mitsubishi,l 200,2010,pickup,diesel,0.0,33243.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,elantra,2016,sedan,petrol,90.0,706.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
hyundai,genesis,2011,coupe,petrol,216.9987,15991.0,,,,,,,400.0,6.3,5.0,,,,,,,,,,,,,
bmw,i3,2014,hatchback,hybrid,0.0,12231.0,,,,Automatic,37161.0,,,,,0.0,,,,0.0,470.8,,,75_11$$66$$1,Renault$$Laguna$$2000$$Blue$$75_11$$66$$image_1.jpg,,0.0,
hyundai,h1,2016,universal,diesel,0.0,40688.0,,,,,,,,,,,,,,,,,,36_5$$1$$4,Hyundai$$Genesis$$2015$$Black$$36_5$$1$$image_4.jpg,,0.0,
